Reference ID,Habitable Rooms,Bedrooms,Tenure,Wheelchair?,Studio?,Tenure Type
1.01,5,3,social,,,
1.02,2,1,social,,,
1.03,2,1,social,,,
1.04,5,3,social,,,
1.05,3,2,social,,,
1.06,4,3,social,,,
1.07,2,1,open,,,
1.08,4,2,open,,,
1.09,4,2,open,yes,,
1.1,2,1,open,,,
1.11,2,1,open,,,
1.12,2,1,open,,,
1.13,3,2,open,,,
1.14,2,1,open,yes,,
2.01,5,3,social,,,
2.02,2,1,social,,,
2.03,2,1,social,,,
2.04,5,3,social,,,
2.05,3,2,social,,,
2.06,4,3,social,,,
2.07,3,2,open,,,
2.08,3,2,open,,,
2.09,3,2,open,yes,,
2.1,2,1,open,,,
2.11,2,1,open,,,
2.12,2,1,open,,,
2.13,3,2,open,,,
2.14,3,2,open,,,
3.01,5,3,social,,,
3.02,2,1,social,,,
3.03,2,1,social,,,
3.04,5,3,social,,,
3.05,3,2,social,,,
3.06,4,3,social,,,
3.07,3,2,open,,,
3.08,3,2,open,,,
3.09,3,2,open,yes,,
3.1,2,1,open,,,
3.11,2,1,open,,,
3.12,2,1,open,,,
3.13,3,2,open,,,
3.14,3,2,open,,,
4.01,5,3,intermediate,,,shared ownership
4.02,5,3,intermediate,,,shared ownership
4.03,3,2,intermediate,,,shared ownership
4.04,4,3,intermediate,,,shared ownership
4.05,3,2,open,,,
4.06,3,2,open,,,
4.07,3,2,open,yes,,
4.08,2,1,open,,,
4.09,2,1,open,,,
4.1,2,1,open,,,
4.11,3,2,open,,,
4.12,3,2,open,,,
5.01,4,3,intermediate,,,shared ownership
5.02,5,3,intermediate,,,shared ownership
5.03,3,2,intermediate,,,shared ownership
5.04,4,3,intermediate,,,shared ownership
5.05,3,2,open,,,
5.06,3,2,open,,,
5.07,3,2,open,yes,,
5.08,2,1,open,,,
5.09,2,1,open,,,
5.1,2,1,open,,,
5.11,3,2,open,,,
5.12,3,2,open,,,
6.01,4,3,open,,,
6.02,5,3,open,,,
6.03,3,2,open,,,
6.04,3,2,open,,,
6.05,3,2,open,yes,,
6.06,2,1,open,,,
6.07,2,1,open,,,
6.08,2,1,open,,,
6.09,3,2,open,,,
6.1,3,2,open,,,
7.01,3,2,open,,,
7.02,3,2,open,yes,,
7.03,2,1,open,,,
7.04,3,2,open,,,
7.05,2,1,open,,,
8.01,3,2,open,,,
8.02,3,2,open,yes,,
8.03,2,1,open,,,
8.04,3,2,open,,,
8.05,2,1,open,,,
